nan,qc_compiled_num_nonlocal_gates,8096,8096,8156,8096,8156,8156,8156,16560,16560,16620,16344,16632,16560,16404,16560,16620,16632,16416,29790,29880,29874,29952,29910,28980,29898,30024,29952,29790,29952,29946,28956,29952,30024,29970,29982,29880,28992
nan,qc_compiled_num_ancillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nan,qc_compiled_num_clbits,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,qc_compiled_num_qubits,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
nan,qc_compiled_num_of_count_ops,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,10,10,11,11,10,11,10,10,10,10,11,10
nan,qc_compiled_num_of_x,129,129,129,129,129,129,129,201,201,201,201,201,201,201,201,201,201,201,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
nan,qc_compiled_num_of_measure,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,qc_compiled_num_of_h,1218,1218,1218,1218,1218,1218,1218,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,3782,3782,3782,3782,3782,3866,3782,3866,3866,3782,3782,3866,3782,3866,3866,3866,3866,3782,3866
nan,qc_compiled_num_of_cswap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,qc_compiled_num_of_swap,580,580,580,580,580,580,580,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
nan,qc_compiled_num_of_cx,1728,1728,1788,1728,1788,1788,1788,3190,3190,3250,2974,3262,3190,3034,3190,3250,3262,3046,5670,5760,5754,5832,5790,4860,5778,5904,5832,5670,5832,5826,4836,5832,5904,5850,5862,5760,4872
nan,qc_compiled_num_of_toffoli,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,qc_compiled_num_of_p,580,584,590,580,588,590,588,1092,1092,1098,1094,1100,1090,1094,1092,1098,1098,1098,1916,1928,1918,1932,1930,1836,1922,1926,1926,1914,1930,1920,1848,1926,1926,1922,1930,1926,1848
nan,qc_compiled_num_of_t,64,64,64,64,64,64,64,100,100,100,100,100,100,100,100,100,100,100,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
